Team/Division,Task,Username,Amount,Address
Ops Team,Core contributor,0xAA#2040,4000,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C
Ops Team,Core contributor,MatterTurbulent#5161,4000,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7
Ops Team,Core contributor,Prye#4845,4000,0x352D7C5A967e6AdD367D24c764Eb4888E631801f
Ops Team,Multisignee,0xAA#2040,1000,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C
Ops Team,Multisignee,MatterTurbulent#5161,1000,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7
Ops Team,Multisignee,pikachu#6696,1000,0x7f0cee1044269a8b3d809438ffd77baca4d72103
Ops Team,Multisignee,arielandco#6089,1000,0x24d8fd78e115abd7e9337447f96a24b8d86edf8c
Ops Team,Multisignee,Tet#7609,1000,0x6E5cc01c94fFaB8A1db9e70A8caC19767f239443
Ops Team,Multisignee,Fine#8385,1000,0x2085E2838DE7f47128A94AC9d938ed4C5A28016B
Ops Team,Multisignee,ifun#9490 ,1000,0xe29eea81db59790e52176d576596c456f73c8132
Ops Team,Multisignee,emmzii#6873,1000,0x6e38571deb4a1dcebc1717d445daaba35981970b
Ops Team,Multisignee,Cai#8820,1000,0xbD1187Af7b213694b6ABF2ED86666066FAedb168
Ops Team,Fireside Chat facilitation,MatterTurbulent#5161,4000,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7
Ops Team,Notetaking,arielandco#6089,4000,0x24d8fd78e115abd7e9337447f96a24b8d86edf8c
Ops Team,LanguageDAO lead,🌻Damilola🌻🐝#4393,4000,0x926bc8d1add23295419ceec7c4f4b2edd85f345f
Accounting Team,May accounting,Prye#4845,3000,0x352D7C5A967e6AdD367D24c764Eb4888E631801f
Developer Team,Files repository maintenance,Prye#4845,2000,0x352D7C5A967e6AdD367D24c764Eb4888E631801f
