Team/Division,Task,Username,Amount,Address
Ops Team,Core contributor,0xAA#2040,4000,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C
Ops Team,Core contributor,MatterTurbulent#5161,4000,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7
Ops Team,Core contributor,Prye#4845,4000,0x352D7C5A967e6AdD367D24c764Eb4888E631801f
Ops Team,Multisignee,0xAA#2040,1000,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C
Ops Team,Multisignee,MatterTurbulent#5161,1000,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7
Ops Team,Multisignee,pikachu#6696,1000,0x7f0cee1044269a8b3d809438ffd77baca4d72103
Ops Team,Multisignee,arielandco#6089,1000,0x24d8fd78e115abd7e9337447f96a24b8d86edf8c
Ops Team,Multisignee,Tet#7609,1000,0x6E5cc01c94fFaB8A1db9e70A8caC19767f239443
Ops Team,Multisignee,Fine#8385,1000,0x2085E2838DE7f47128A94AC9d938ed4C5A28016B
Ops Team,Multisignee,ifun#9490 ,1000,0xe29eea81db59790e52176d576596c456f73c8132
Ops Team,Multisignee,emmzii#6873,1000,0x6e38571deb4a1dcebc1717d445daaba35981970b
Ops Team,Multisignee,Cai#8820,1000,0xbD1187Af7b213694b6ABF2ED86666066FAedb168
Ops Team,Fireside Chat facilitation,MatterTurbulent#5161,4000,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7
Ops Team,Notetaking,arielandco#6089,4000,0x24d8fd78e115abd7e9337447f96a24b8d86edf8c
Ops Team,LanguageDAO lead,🌻Damilola🌻🐝#4393,4000,0x926bc8d1add23295419ceec7c4f4b2edd85f345f
Accounting Team,May accounting,Prye#4845,3000,0x352D7C5A967e6AdD367D24c764Eb4888E631801f
Developer Team,Files repository maintenance,Prye#4845,2000,0x352D7C5A967e6AdD367D24c764Eb4888E631801f
Marketing Team,Social media group,0x179,649,0x1794bD418F4b08147c53d0780112a43fC19048cf
Marketing Team,Social media group,小大阳,258,0x3Da4da2De7a937aEbBe26166B4f06EDE7Bc77BE5
Marketing Team,Social media group,cara,646,0xd2c185c0b8b0f7001a3408689fa22ca8490002fa
Marketing Team,Social media group,Palpitate,649,0xf827CA6B495A1602127f087237d331715E5079F2
Marketing Team,Social media group,PeopleDao-Lin,646,0x1e5Df7049640D957EC79c43cbf92fe3F7046955D
Marketing Team,Social media group,悠,646,0xf3692C17C200bBfA24f00f1b1fD7dcDe87CaD777
Marketing Team,Social media group,小马哥,646,0xa9f403f37Dfb71d658734dCBfb45094f252c3553
Marketing Team,Social media group,Jacob,603,0xc3f45F40723F7Ef9063700314b936b8EFA1D1e5A
Marketing Team,Social media group,Single,646,0x8424817Abd427e3CF87Cfb9D9F4199Df7b96d843
Marketing Team,Social media group,琳子,646,0x929A29E202e75A653f6799EDE18DB3315992B80d
Marketing Team,Social media group,初见,646,0x3Dc015c92A3555a09FAD1c44359411441caF293b
Marketing Team,Social media group,因为,646,0xd9293636EE3Aa663fc563ADB0912B0705dAfb62c
Marketing Team,Social media group,Micro Negro,646,0xbAb1315f63134691634F722F9e393fBE4F12c2AD
Marketing Team,Social media group,褪色i,646,0x9E8374e77891A7406808E971e8A496f18F551b96
Marketing Team,Social media group,Jack jie,387,0xe08fdf43aD00A3fead1a4f555acb97418C7ebD3b
Marketing Team,Social media group,btc老k,517,0x37e6d19d4c204c1f47dac28751f3cc0a1bf227f4
Marketing Team,Social media group,people,649,0x9447035fE567aE30323EA0421F9f38CF2D226465
Marketing Team,Social media group,dragonwd,646,0xeBD50A8D200f5ad8c86b170f69AADaFbc62A74eE
Marketing Team,Social media group,L.E.V.D,649,0xfd7eb64b2542636a9899cc519ef23d01df3e8e53
Marketing Team,Social media group,Zzy,387,0x7a84B21dFf95E3Be0Da85978A48e4362d7F68D0e
Marketing Team,Social media group,小元,517,0xd03686d054a2c38ae2cefb0c5baff1831b6bb76f
Marketing Team,Social media group,Klein wang,517,0x3F8f23Cb92659957bCeC5A705e44fAFBcf49e54e
Marketing Team,Social media group,张明鑫,646,0x41EC28408bC2244Ca2a3172716dF50A01D1F99Ad
Marketing Team,Social media group,D.K.,517,0x5834621f3a246440506065acc6f2edb632293109
Marketing Team,Social media group,小轩,649,0xDF594FbaE9f0b800820624dcDB74D2C8F575312b
Marketing Team,Social media group,笆斗,517,0xBb6f3aB49e02AE3976B858A47A06a3af5aC325e0
Marketing Team,Social media group,岁月时光,649,0xa60c1C4f6ae537271499bF63f0662Fe1A5fE1793
Marketing Team,Social media group,？,387,0x6D7928c2E2a93f2E7046d2495b05e5cd7C06CE51
Marketing Team,Social media group,鲸鱼poisson,517,0x1BE493228dc95A3F65c2bF6A6Ce80e9aceE0BCda
Marketing Team,Social media group,andrewding.eth,646,0x9326A94de5CB1517f99FB03C8e89783Aa005328d
Marketing Team,Social media group,x13,646,0x8126A78148F41771873c0ad18db477e7BA4B75A6
Marketing Team,Social media group,——順風順水,646,0x9cf5044ad2be2ee92a7ae846d15c53450d5101be
Marketing Team,Social media group,XH,258,0xDca19F1B8cD7985567Ede578B654F847eA9d2F5E
Marketing Team,Social media group,吖极端,387,0xE00Ad7C927D5e068F52f9ec6B5C031b506dd431E
Marketing Team,Social media group,小龙虾,646,0x7FEDBB0302Ab6c23a2A3Ac0787333f27f3fD9390
