token_type,token_address,receiver,amount
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C,6000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7,8000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x352D7C5A967e6AdD367D24c764Eb4888E631801f,6000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7f0cee1044269a8b3d809438ffd77baca4d72103,5000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x24d8fd78e115abd7e9337447f96a24b8d86edf8c,4000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6E5cc01c94fFaB8A1db9e70A8caC19767f239443,1000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x2085E2838DE7f47128A94AC9d938ed4C5A28016B,1000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xe29eea81db59790e52176d576596c456f73c8132,1000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6e38571deb4a1dcebc1717d445daaba35981970b,1000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xbD1187Af7b213694b6ABF2ED86666066FAedb168,1000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0C3baea2FE713be081A366c5b405da5Ea1236751,3000
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x1794bD418F4b08147c53d0780112a43fC19048cf,777
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3Da4da2De7a937aEbBe26166B4f06EDE7Bc77BE5,726
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd2c185c0b8b0f7001a3408689fa22ca8490002fa,775
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf827CA6B495A1602127f087237d331715E5079F2,726
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf3692C17C200bBfA24f00f1b1fD7dcDe87CaD777,775
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xa9f403f37Dfb71d658734dCBfb45094f252c3553,775
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xc3f45F40723F7Ef9063700314b936b8EFA1D1e5A,678
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8424817Abd427e3CF87Cfb9D9F4199Df7b96d843,775
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x929A29E202e75A653f6799EDE18DB3315992B80d,777
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3Dc015c92A3555a09FAD1c44359411441caF293b,759
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd9293636EE3Aa663fc563ADB0912B0705dAfb62c,726
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xbAb1315f63134691634F722F9e393fBE4F12c2AD,678
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x1cD51670bD685D800AF3bdAfD4088Ced904aE1C0,775
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9447035fE567aE30323EA0421F9f38CF2D226465,777
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xeBD50A8D200f5ad8c86b170f69AADaFbc62A74eE,549
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xfd7eb64b2542636a9899cc519ef23d01df3e8e53,339
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7a84B21dFf95E3Be0Da85978A48e4362d7F68D0e,678
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd03686d054a2c38ae2cefb0c5baff1831b6bb76f,678
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3F8f23Cb92659957bCeC5A705e44fAFBcf49e54e,726
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x41EC28408bC2244Ca2a3172716dF50A01D1F99Ad,403
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x5834621f3a246440506065acc6f2edb632293109,777
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xDF594FbaE9f0b800820624dcDB74D2C8F575312b,777
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xa60c1C4f6ae537271499bF63f0662Fe1A5fE1793,777
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6D7928c2E2a93f2E7046d2495b05e5cd7C06CE51,500
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9326A94de5CB1517f99FB03C8e89783Aa005328d,436
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8126A78148F41771873c0ad18db477e7BA4B75A6,581
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9cf5044ad2be2ee92a7ae846d15c53450d5101be,726
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7FEDBB0302Ab6c23a2A3Ac0787333f27f3fD9390,775
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x1b4535700c272737D7848c0262526f0c781f2e0D,777
