token_type,token_address,receiver,amount,Username,Task,Division
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C,868,0xAA#2040,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7,1736,MatterTurbulent#5161,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7f0cee1044269a8b3d809438ffd77baca4d72103,1736,pikachu#6696,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x352D7C5A967e6AdD367D24c764Eb4888E631801f,868,Prye#4845,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0C3baea2FE713be081A366c5b405da5Ea1236751,1986,Mosa,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6c965b868c450259a6d4d95a2e68fb4319eecbc0,1736,Rohekbenitez,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0C3baea2FE713be081A366c5b405da5Ea1236751,6000,Mosa,OctNov accounting,Accounting Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x352D7C5A967e6AdD367D24c764Eb4888E631801f,4000,Prye#4845,Files repository maintenance,Developer Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x2c6d5abb8da3834fb8664fb7f03b69f530fe46cc,918,0x179,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xef7198f822fd7979d2b44447fd15b33f9e845fc3,851,小大阳,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd2c185c0b8b0f7001a3408689fa22ca8490002fa,906,cara,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x2e4023fe6d55d5a2124b24eb23dbdd81f0475c9d,869,Palpitate,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf3692C17C200bBfA24f00f1b1fD7dcDe87CaD777,906,悠,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xdab9c2c077bf083f335953beb41442a9b6a0f36c,906,小马哥,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd96be4a495101393d54c84ad903d4f005178a716,906,Jacob,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8424817Abd427e3CF87Cfb9D9F4199Df7b96d843,906,Single,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x88a019b74c8e43ba95ca2378660b0b0b8e7ee1d7,906,琳子,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x2E00f7108baa26A7E76DD3bEA40405077DA69EFE,906,初见,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd9293636EE3Aa663fc563ADB0912B0705dAfb62c,906,因为,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x494ac07ADaccD94eb2575e3A92224c6E592Bffb9,841,Micro Negro,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xcE84C8Bbaa831097EE2a146fBC3EA349b8C1cd10,906,褪色i,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9447035fE567aE30323EA0421F9f38CF2D226465,916,people,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x76ec7b2c4Ef8d36c9e6Cf0C3331CeB6D4a3DA829,804,dragonwd,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xfd7eb64b2542636a9899cc519ef23d01df3e8e53,523,L.E.V.D,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7a84B21dFf95E3Be0Da85978A48e4362d7F68D0e,869,Zzy,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd03686d054a2c38ae2cefb0c5baff1831b6bb76f,906,小元,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3F8f23Cb92659957bCeC5A705e44fAFBcf49e54e,906,Kleinwang,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8eac64739397cf8b547c3f52d34dff7da227f0fb,906,张明鑫,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x5834621f3a246440506065acc6f2edb632293109,739,D.K.,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xDF594FbaE9f0b800820624dcDB74D2C8F575312b,672,小轩,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x162ede034b826e14ba82a52ca273f4695cd8e350,906,岁月时光,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9326A94de5CB1517f99FB03C8e89783Aa005328d,523,andrewding.eth,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8126A78148F41771873c0ad18db477e7BA4B75A6,739,x13,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xe896340406F79a06A094Eea5344a87B15809B085,766,——順風順水,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x51919d32c030f027bb676548d21ef61cea9377b4,906,小龙虾,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xfe4902a8bf676a024098d9e518f230deb291e77c,841,XH,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6D7928c2E2a93f2E7046d2495b05e5cd7C06CE51,728,？,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x1b4535700c272737D7848c0262526f0c781f2e0D,908,jiayue110,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xda3679e7c9c6ab5655509acbc8752985b78a71e1,869,杞人忧天,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7bab8842f442de56129d077f0f48e38e76874e32,841,辉,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x45deede453bec405fbbd729b2f1a2b5ae4d7cc07,841,参商永离,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xe8921985469d523d6348a636f3ebb7752954a8cc,906,Elk,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xa8370a9ba087a29692b0c51f6656955ad1c660e5,906,豆豆,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xcc06058c0cc23cc8aa9b9784995217e76e96f6b5,906,二牛,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x90a7248af86b3d27635020477b4cbf768589557e,906,天天,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf80d81b3f83b90b848bd9db7defe0ab915ab9ab7,906,江南西风月,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x946782812abb8c3868693c419e8aeaed21aa9cd0,906,绵绵,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x01027881f5c6fc948d4fe3ca9e1ee30ecfd91f13,906,度,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x95e91186c8a7e78e507da7e7bfad4d438f778845,307,时间,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x52ca3dcd30011731fbd702be8fb1dd1ced581bfe,906,zizi,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xb5c7fc554fb95f766e991b1f6109a9b6349ed892,906,橙子,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x62000a5e5164ce77ae3b3259f9338c6f84c39c81,588,明前,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x408865312dbdba2184443b8bb3fd66ad2d113817,906,风声,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x72998f6827a3330faad6a83e32baf2fc3c57860d,906,C.,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xa4686c04e8e3c60b78a61b91dc4a313bec0be902,906,早点睡,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xBaFAa6a4DB4d503C54D3ae30Bc76EFD1Ce3D3012,906,肥嘟嘟左卫门,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0a39782977cbe6a93c679a08c439ed7f990ae279,906,会飞的牛,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x4996214fa5e4cdd31a05b2ef02e8f17bc132b64a,906,龙骧包原皮开膜,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7d6e7c1668681f72529edf2ece00e9ac32792a6e,906,pp冲啊,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xee9627c45d2e2ccf8eb45244b524970aeeda3472,618,People,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf4a2A0015292D23ac8018f0252764C5cB296E434,841,荧光1218,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xA3748c8553932A6e46832018daDAe1CB4BDd13C5,711,万事大吉,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xcdd69baa3e49074a6f65ef882dea3529b9497f03,869,Snow,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xdd522ad8e612e5bef672dbda89cb8e50c5f82d0e,739,瑞🌹宝,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x4b49906e324eaaa38a9572209457c1a686434698,739,要加倍努力,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xcf73a7daab8c08eed39763babee123acb6975b26,700,远方海洋,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x017c6cc66f7e4e10b4216d7ea51e7c3faefd55a3,700,damilolaeth,social media group,Marketing Team
